round_num,num_nodes,avg_pqc_ms,total_enc_ms,total_dec_ms,total_overhead_bytes
0,5,1.9147100002555817,7.8412620009657985,1.73228800031211,163220
1,5,0.6706927998493484,1.7528210000818945,1.6006429991648474,163220
2,5,0.5819485999381868,1.6801059996396361,1.229637000051298,163220
3,5,0.5476401999658265,1.576711998495739,1.1614890013333934,163220
4,5,0.5085833999146416,1.419110999449913,1.1238060001232952,163220
5,5,0.5549189999328519,1.607681998393673,1.1669130012705864,163220
6,5,0.6345033997604332,1.8410450006740575,1.3314719981281087,163220
7,5,0.5406569999649946,1.5642409994143236,1.1390440004106495,163220
8,5,0.587806200110208,1.7017800000758143,1.2372510004752257,163220
9,5,0.5550604001655302,1.578351000262046,1.1969510005656048,163220
